end_week,covid_deaths,total_deaths,percent_of_expected_deaths,pneumonia_deaths,pneumonia_and_covid_deaths,influenza_deaths,pneumon_influ_or_covid,report_date
2/1/2020,0,"56,402",95,"3,618",0,452,,4/11/2020
2/8/2020,0,"56,737",95,"3,601",0,483,,4/11/2020
2/15/2020,0,"55,273",94,"3,580",0,489,,4/11/2020
2/22/2020,0,"54,859",94,"3,427",0,502,,4/11/2020
2/29/2020,5,"54,513",95,"3,464",3,573,,4/11/2020
3/7/2020,18,"53,801",93,"3,552",11,555,,4/11/2020
3/14/2020,45,"51,305",90,"3,474",22,533,,4/11/2020
3/21/2020,423,"49,390",87,"3,762",197,446,,4/11/2020
3/28/2020,"1,891","46,581",83,"4,363",871,314,,4/11/2020
4/4/2020,"2,602","32,563",58,"3,582","1,237",194,,4/11/2020
2/1/2020,0,"56,589",95,"3,639",0,454,,4/18/2020
2/8/2020,0,"57,114",96,"3,633",0,488,,4/18/2020
2/15/2020,0,"56,143",95,"3,638",0,499,,4/18/2020
2/22/2020,0,"55,690",96,"3,491",0,516,,4/18/2020
2/29/2020,5,"55,036",96,"3,516",3,586,,4/18/2020
3/7/2020,20,"54,476",94,"3,614",11,566,,4/18/2020
3/14/2020,44,"52,704",92,"3,586",22,558,,4/18/2020
3/21/2020,454,"52,271",92,"4,005",209,479,,4/18/2020
3/28/2020,"2,339","53,687",96,"5,185","1,090",368,,4/18/2020
4/4/2020,"5,457","52,992",95,"6,549","2,620",371,,4/18/2020
4/11/2020,"4,811","35,863",65,"4,163","1,947",343,,4/18/2020
2/1/2020,0,"57,146",96,"3,680",0,465,"4,145",4/25/2020
2/8/2020,0,"57,284",96,"3,646",0,491,"4,137",4/25/2020
2/15/2020,0,"56,499",96,"3,668",0,511,"4,179",4/25/2020
2/22/2020,0,"56,259",97,"3,528",0,529,"4,057",4/25/2020
2/29/2020,5,"55,972",97,"3,563",3,604,"4,169",4/25/2020
3/7/2020,21,"55,516",96,"3,677",12,579,"4,264",4/25/2020
3/14/2020,49,"53,529",94,"3,642",25,569,"4,234",4/25/2020
3/21/2020,478,"53,437",94,"4,096",221,489,"4,835",4/25/2020
3/28/2020,"2,569","56,273",100,"5,482","1,187",391,"7,211",4/25/2020
4/4/2020,"7,383","61,261",109,"8,221","3,591",412,"12,224",4/25/2020
4/11/2020,"9,958","58,378",103,"8,160","4,373",394,"13,838",4/25/2020
4/18/2020,"4,092","33,244",62,"3,599","1,658",137,"6,065",4/25/2020
2/1/2020,0,"57,266",97,"3,688",0,469,"4,157",5/2/2020
2/8/2020,1,"57,615",97,"3,672",0,494,"4,167",5/2/2020
2/15/2020,0,"56,878",97,"3,693",0,517,"4,210",5/2/2020
2/22/2020,0,"56,806",98,"3,557",0,536,"4,093",5/2/2020
2/29/2020,5,"56,843",99,"3,626",3,619,"4,247",5/2/2020
3/7/2020,25,"56,212",97,"3,719",14,583,"4,312",5/2/2020
3/14/2020,49,"53,968",95,"3,676",25,578,"4,277",5/2/2020
3/21/2020,493,"53,979",95,"4,150",226,496,"4,907",5/2/2020
3/28/2020,"2,712","57,430",103,"5,624","1,235",410,"7,463",5/2/2020
4/4/2020,"8,082","64,313",115,"8,724","3,875",432,"13,148",5/2/2020
4/11/2020,"12,262","66,577",120,"9,841","5,468",430,"16,744",5/2/2020
4/18/2020,"10,408","55,062",101,"7,606","4,402",215,"13,663",5/2/2020
4/25/2020,"3,271","26,489",49,"2,806","1,316",67,"4,777",5/2/2020
2/1/2020,0,"57,444",97,"3,700",0,471,"4,171",5/9/2020
2/8/2020,1,"57,766",97,"3,686",0,499,"4,186",5/9/2020
2/15/2020,0,"57,077",97,"3,710",0,521,"4,231",5/9/2020
2/22/2020,1,"57,041",98,"3,573",0,541,"4,115",5/9/2020
2/29/2020,7,"57,252",99,"3,663",5,623,"4,288",5/9/2020
3/7/2020,29,"56,850",98,"3,766",16,594,"4,372",5/9/2020
3/14/2020,50,"54,895",96,"3,726",25,590,"4,340",5/9/2020
3/21/2020,504,"54,997",97,"4,229",230,504,"5,001",5/9/2020
3/28/2020,"2,771","58,379",104,"5,722","1,265",416,"7,596",5/9/2020
4/4/2020,"8,437","65,937",118,"8,994","4,040",441,"13,614",5/9/2020
4/11/2020,"13,261","70,404",127,"10,539","5,909",444,"18,005",5/9/2020
4/18/2020,"12,556","64,003",118,"9,105","5,382",234,"16,341",5/9/2020
4/25/2020,"7,875","49,968",92,"6,106","3,310",116,"10,706",5/9/2020
5/2/2020,"1,636","25,168",39,"1,936",637,25,"2,949",5/9/2020
2/1/2020,0,"57,535",97,"3,705",0,472,"4,177",5/16/2020
2/8/2020,1,"58,140",97,"3,703",0,506,"4,210",5/16/2020
2/15/2020,0,"57,480",98,"3,734",0,535,"4,269",5/16/2020
2/22/2020,2,"57,510",99,"3,602",0,553,"4,157",5/16/2020
2/29/2020,7,"57,784",100,"3,714",5,625,"4,341",5/16/2020
3/7/2020,32,"57,373",99,"3,796",16,608,"4,419",5/16/2020
3/14/2020,51,"55,856",98,"3,781",26,598,"4,403",5/16/2020
3/21/2020,517,"55,965",99,"4,291",237,518,"5,083",5/16/2020
3/28/2020,"2,897","59,074",106,"5,804","1,314",420,"7,758",5/16/2020
4/4/2020,"8,893","66,978",120,"9,208","4,260",445,"14,066",5/16/2020
4/11/2020,"14,287","72,459",131,"10,983","6,372",450,"19,018",5/16/2020
4/18/2020,"14,077","68,029",126,"9,893","6,082",246,"17,954",5/16/2020
4/25/2020,"10,760","60,216",112,"7,851","4,607",128,"14,045",5/16/2020
5/2/2020,"6,464","47,070",87,"5,057","2,660",43,"8,889",5/16/2020
5/9/2020,"2,311","26,479",50,"2,196",937,11,"3,581",5/16/2020
